         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      137    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       35    0.001    0.000    0.002    0.000 textwrap.py:233(_wrap_chunks)
  228/134    0.001    0.000    0.007    0.000 typing.py:340(__getitem__)
     1608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     6166    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      458    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
 1398/895    0.001    0.000    0.002    0.000 typing.py:664(__hash__)
      141    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        4    0.001    0.000    1.227    0.307 __init__.py:11(<module>)
     1047    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
      187    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      435    0.001    0.000    0.002    0.000 inspect.py:2467(__init__)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
     4180    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      144    0.001    0.000    0.006    0.000 inspect.py:2198(_signature_from_callable)
     2964    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
   478/69    0.001    0.000    0.958    0.014 {built-in method builtins.__import__}
     1004    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      316    0.001    0.000    0.027    0.000 overrides.py:166(decorator)
      551    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
     1004    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      861    0.001    0.000    0.003    0.000 registration.py:144(register)
     3996    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      126    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      861    0.001    0.000    0.004    0.000 registration.py:152(register)
       89    0.001    0.000    0.003    0.000 traitlets.py:722(__new__)
      755    0.001    0.000    0.004    0.000 enum.py:284(__call__)
      430    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
        1    0.001    0.001    0.001    0.001 __init__.py:29(cuFFTPlanCache)
      938    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      141    0.001    0.000    0.023    0.000 sre_parse.py:913(parse)
     1004    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     1881    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      112    0.001    0.000    0.017    0.000 decorator.py:225(decorate)
      900    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      467    0.001    0.000    0.004    0.000 deprecation.py:9(wrap)
      117    0.001    0.000    0.017    0.000 decorator.py:197(create)
     1047    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1004    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      144    0.001    0.000    0.001    0.000 inspect.py:2750(__init__)
     2529    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       89    0.001    0.000    0.001    0.000 traitlets.py:742(setup_class)
       35    0.001    0.000    0.001    0.000 enum.py:177(<setcomp>)
      126    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      290    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      228    0.001    0.000    0.005    0.000 typing.py:744(__getitem__)
     1051    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1831    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      141    0.001    0.000    0.001    0.000 enum.py:836(__and__)
       49    0.001    0.000    0.001    0.000 my_exceptions.py:72(_mk_exception)
     1621    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      784    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
2409/1630    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1355    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      157    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       26    0.000    0.000    0.002    0.000 _backend.py:216(get_defaults)
      298    0.000    0.000    0.001    0.000 traitlets.py:419(__init__)
      134    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
      273    0.000    0.000    0.004    0.000 function_base.py:460(add_newdoc)
      117    0.000    0.000    0.001    0.000 decorator.py:145(update)
      743    0.000    0.000    0.001    0.000 enum.py:526(__new__)
     3580    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 win32.py:92(_winapi_test)
        9    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       15    0.000    0.000    0.019    0.001 utils.py:1(<module>)
     1345    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
      107    0.000    0.000    0.005    0.000 typing.py:621(__getitem__)
      791    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       99    0.000    0.000    0.004    0.000 typing.py:760(__getitem_inner__)
      883    0.000    0.000    0.001    0.000 typing.py:322(__hash__)
      126    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1793    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       13    0.000    0.000    0.206    0.016 __init__.py:3(<module>)
      583    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
  165/131    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      252    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
     1025    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1413    0.000    0.000    0.001    0.000 inspect.py:72(isclass)
      206    0.000    0.000    0.004    0.000 typing.py:633(copy_with)
      136    0.000    0.000    0.000    0.000 traitlets.py:651(tag)
        2    0.000    0.000    0.001    0.000 style.py:62(__new__)
      908    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      144    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      187    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     1158    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      141    0.000    0.000    0.014    0.000 sre_compile.py:598(_code)
       37    0.000    0.000    0.003    0.000 argparse.py:1328(add_argument)
       21    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       48    0.000    0.000    0.002    0.000 argparse.py:159(__init__)
      333    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      246    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 ansi.py:1(<module>)
      141    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      137    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       89    0.000    0.000    0.001    0.000 traitlets.py:1627(__init__)
       45    0.000    0.000    0.280    0.006 <frozen importlib._bootstrap_external>:1040(create_module)
      918    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 popen_spawn_win32.py:1(<module>)
      187    0.000    0.000    0.005    0.000 abc.py:125(__new__)
      193    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      136    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
     1119    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
      458    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       36    0.000    0.000    0.004    0.000 argparse.py:501(_format_action)
        1    0.000    0.000    0.001    0.001 interactiveshell.py:339(InteractiveShell)
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      703    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
       10    0.000    0.000    0.000    0.000 function.py:90(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      152    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       59    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       12    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
       89    0.000    0.000    0.001    0.000 traitlets.py:737(__init__)
       35    0.000    0.000    0.000    0.000 argparse.py:609(_expand_help)
      677    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      579    0.000    0.000    0.000    0.000 inspect.py:2799(<genexpr>)
       33    0.000    0.000    0.001    0.000 argparse.py:1247(__init__)
        9    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      458    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        2    0.000    0.000    0.094    0.047 __init__.py:7(<module>)
        1    0.000    0.000    0.059    0.059 interactiveshell.py:2(<module>)
       16    0.000    0.000    0.006    0.000 linecache.py:82(updatecache)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
     1004    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
     1282    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.030    0.030 client.py:69(<module>)
        1    0.000    0.000    0.001    0.001 validation.py:4(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
     1008    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      590    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      344    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
        4    0.000    0.000    0.653    0.163 __init__.py:6(<module>)
      156    0.000    0.000    0.000    0.000 token.py:16(split)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
       91    0.000    0.000    0.013    0.000 magic.py:186(magic_deco)
      331    0.000    0.000    0.000    0.000 types.py:164(__get__)
